ELLIPTIC FILTER TABLE FOR k = wp/ws = 0.5 Ap = Apmax = 0.25dB 

n,Constant,Numerator,Denominator,Asmin

1,11.8211,,(s + 11.8211),0.813683
2,0.288661,(s^2 + 3.73205),(s^2 + 1.05016s + 1.10876),10.957
3,0.156586,(s^2 + 2.57661),(s + 0.608474)(s^2 + 0.451888s + 0.66307),28.0546
4,0.00530775,(s^2 + 12.1136)(s^2 + 2.29663),(s^2 + 0.759843s + 0.264399)(s^2 + 0.253581s + 0.574797),45.5018
5,0.00468844,(s^2 + 5.28387)(s^2 + 2.18248),(s + 0.336288)(s^2 + 0.493941s + 0.29601)(s^2 + 0.162341s + 0.543141),62.9557
6,9.53937e-005,(s^2 + 26.1784)(s^2 + 3.73205)(s^2 + 2.12408),(s^2 + 0.524752s + 0.114297)(s^2 + 0.343505s + 0.337469)(s^2 + 0.112795s + 0.528217),80.4096
7,0.000117968,(s^2 + 9.48055)(s^2 + 3.10089)(s^2 + 2.09002),(s + 0.235052)(s^2 + 0.404069s + 0.159798)(s^2 + 0.252041s + 0.371125)(s^2 + 0.082906s + 0.519968),97.8636
8,1.71445e-006,(s^2 + 45.8808)(s^2 + 5.88334)(s^2 + 2.77253)(s^2 + 2.06837),(s^2 + 0.397625s + 0.0635972)(s^2 + 0.315757s + 0.210335)(s^2 + 0.192644s + 0.396554)(s^2 + 0.0634957s + 0.514912),115.317
9,2.72592e-006,(s^2 + 15.1005)(s^2 + 4.4611)(s^2 + 2.57661)(s^2 + 2.05372),(s + 0.181213)(s^2 + 0.331218s + 0.0988462)(s^2 + 0.251806s + 0.255121)(s^2 + 0.151981s + 0.415649)(s^2 + 0.0501817s + 0.51158),132.771
10,3.08128e-008,(s^2 + 71.2155)(s^2 + 8.68173)(s^2 + 3.73205)(s^2 + 2.44899)(s^2 + 2.04334),(s^2 + 0.319504s + 0.0404903)(s^2 + 0.276244s + 0.141217)(s^2 + 0.204813s + 0.29234)(s^2 + 0.122948s + 0.430148)(s^2 + 0.0406547s + 0.509262),150.225


ELLIPTIC FILTER TABLE FOR k = wp/ws = 0.5 Ap = Apmax = 0.5dB 

n,Constant,Numerator,Denominator,Asmin

1,5.52554,,(s + 5.52554),1.53609
2,0.203386,(s^2 + 3.73205),(s^2 + 0.885902s + 0.804025),13.9111
3,0.109097,(s^2 + 2.57661),(s + 0.489472)(s^2 + 0.380375s + 0.57429),31.1882
4,0.00369877,(s^2 + 12.1136)(s^2 + 2.29663),(s^2 + 0.625478s + 0.205159)(s^2 + 0.21295s + 0.531288),48.6389
5,0.00326718,(s^2 + 5.28387)(s^2 + 2.18248),(s + 0.277619)(s^2 + 0.410507s + 0.262499)(s^2 + 0.136155s + 0.51701),66.0928
6,6.6476e-005,(s^2 + 26.1784)(s^2 + 3.73205)(s^2 + 2.12408),(s^2 + 0.435404s + 0.0905416)(s^2 + 0.286557s + 0.316025)(s^2 + 0.094532s + 0.510688),83.5467
7,8.22067e-005,(s^2 + 9.48055)(s^2 + 3.10089)(s^2 + 2.09002),(s + 0.195335)(s^2 + 0.336396s + 0.143059)(s^2 + 0.210594s + 0.35626)(s^2 + 0.0694506s + 0.507358),101.001
8,1.19473e-006,(s^2 + 45.8808)(s^2 + 5.88334)(s^2 + 2.77253)(s^2 + 2.06837),(s^2 + 0.331056s + 0.0507641)(s^2 + 0.263392s + 0.197996)(s^2 + 0.161083s + 0.385648)(s^2 + 0.0531746s + 0.505388),118.455
9,1.89958e-006,(s^2 + 15.1005)(s^2 + 4.4611)(s^2 + 2.57661)(s^2 + 2.05372),(s + 0.150996)(s^2 + 0.276171s + 0.0888885)(s^2 + 0.210287s + 0.245704)(s^2 + 0.127127s + 0.407303)(s^2 + 0.0420161s + 0.504124),135.909
10,2.14722e-008,(s^2 + 71.2155)(s^2 + 8.68173)(s^2 + 3.73205)(s^2 + 2.44899)(s^2 + 2.04334),(s^2 + 0.266463s + 0.0324357)(s^2 + 0.230572s + 0.133304)(s^2 + 0.171159s + 0.284946)(s^2 + 0.10286s + 0.423552)(s^2 + 0.0340343s + 0.503264),153.362
